Director,primaryName
nm0000428,D.W. Griffith
nm0000122,Charles Chaplin
nm0003638,F.W. Murnau
nm0000036,Buster Keaton
nm0003433,Carl Theodor Dreyer
nm0373511,Victor Heerman
nm0903049,Josef von Sternberg
nm0503777,Mervyn LeRoy
nm0001843,James Whale
nm0000485,Fritz Lang
nm0572851,Norman Z. McLeod
nm0920074,William A. Wellman
nm0541149,Rouben Mamoulian
nm0332539,Edmund Goulding
nm0005713,Karl Freund
nm0564970,Leo McCarey
nm0045800,Lloyd Bacon
nm0448915,Erle C. Kenton
nm0001008,Frank Capra
nm0886754,W.S. Van Dyke
nm0000033,Alfred Hitchcock
nm0002031,Michael Curtiz
nm0515979,Frank Lloyd
nm0762263,Mark Sandrich
nm0943758,William Wyler
nm0478441,Gregory La Cava
nm0562845,Archie Mayo
nm0828419,George Stevens
nm0281808,Victor Fleming
nm0939992,Sam Wood
nm0719756,Jean Renoir
nm0437717,Garson Kanin
nm0001328,Howard Hawks
nm0002030,George Cukor
nm0550892,George Marshall
nm0226189,William Dieterle
nm0523932,Ernst Lubitsch
nm0909825,Raoul Walsh
nm0498174,Rowland V. Lee
nm0000406,John Ford
nm0000080,Orson Welles
nm0002545,Preston Sturges
nm0001379,John Huston
nm0905729,George Waggner
nm0163229,René Clair
nm0710924,Irving Rapper
nm0466113,Zoltan Korda
nm0000697,Billy Wilder
nm0829038,Robert Stevenson
nm0591486,Vincente Minnelli
nm0229424,Edward Dmytryk
nm0020765,Lewis Allen
nm0936404,Robert Wise
nm0324013,Peter Godfrey
nm0506797,Albert Lewin
nm0896533,Charles Vidor
nm0000180,David Lean
nm0802563,Robert Siodmak
nm0744023,Roberto Rossellini
nm0587277,Lewis Milestone
nm0718321,Irving Reis
nm0467396,Henry Koster
nm0202088,Jules Dassin
nm0202681,Delmer Daves
nm0001415,Elia Kazan
nm0000581,Joseph L. Mankiewicz
nm0780833,George Seaton
nm0715346,Carol Reed
nm0869664,Jacques Tourneur
nm0268513,John Farrow
nm0368871,Henry Hathaway
nm0910199,Charles Walters
nm0000059,Laurence Olivier
nm0649097,Max Ophüls
nm0693281,H.C. Potter
nm0514822,Anatole Litvak
nm0000041,Akira Kurosawa
nm0744035,Robert Rossen
nm0654868,Yasujirô Ozu
nm0896542,King Vidor
nm0357607,Robert Hamer
nm0245385,Allan Dwan
nm0454771,Henry King
nm0005789,Rudolph Maté
nm0712947,Nicholas Ray
nm0542649,Anthony Mann
nm0003593,Fred Zinnemann
