Code,Title,Runtime,Genres,AverageRating,Cast,Director
tt0006864,Intolerance,163,"Drama,History",7.7,"['nm0001273', 'nm0001273', 'nm0366008', 'nm0550615', 'nm0877548', 'nm0208659', 'nm0507849', 'nm0017488', 'nm0913432', 'nm0255466', 'nm1026284']",nm0000428
tt0009968,Broken Blossoms,90,"Drama,Romance",7.2,"['nm0001273', 'nm0001932', 'nm0187981', 'nm0397126', 'nm0081361', 'nm0073239', 'nm0782999', 'nm0125330', 'nm0357590', 'nm0383278']",nm0000428
tt0012349,The Kid,68,"Comedy,Drama,Family",8.2,"['nm0000122', 'nm0701012', 'nm0001067', 'nm0588033', 'nm0042317', 'nm0042317', 'nm0047800', 'nm0048798', 'nm0074788', 'nm0074788', 'nm0080930', 'nm0088471']",nm0000122
tt0014341,Our Hospitality,65,"Comedy,Romance,Thriller",7.7,"['nm0000036', 'nm0848231', 'nm0444172', 'nm0731247', 'nm0124287', 'nm0172560', 'nm0911469', 'nm0102901', 'nm0444167', 'nm0085919']","nm0090007,nm0000036"
tt0015064,The Last Laugh,90,Drama,8.0,"['nm0417837', 'nm0217848', 'nm0384897', 'nm0476130', 'nm0007207', 'nm0832605', 'nm0885030', 'nm0313308', 'nm0943644', 'nm0368394']",nm0003638
tt0015163,The Navigator,59,"Action,Adventure,Comedy",7.5,"['nm0000036', 'nm0570230', 'nm0089162', 'nm0123548', 'nm0167320', 'nm0425903']","nm0187981,nm0000036"
tt0015324,Sherlock Jr.,45,"Action,Comedy,Romance",8.1,"['nm0000036', 'nm0000036', 'nm0570230', 'nm0444172', 'nm0444172', 'nm0175068', 'nm0175068', 'nm0186440', 'nm0186440', 'nm0175075', 'nm0204639', 'nm0213009', 'nm1537375', 'nm0386808']",nm0000036
tt0015864,The Gold Rush,95,"Adventure,Comedy,Drama",8.1,"['nm0000122', 'nm0841501', 'nm0615306', 'nm0074788', 'nm0906618', 'nm0354913', 'nm1033900', 'nm1027682', 'nm1027683', 'nm0012447']",nm0000122
tt0016332,Seven Chances,56,"Comedy,Romance",7.8,"['nm0000036', 'nm0245536', 'nm0055797', 'nm0250366', 'nm0713259', 'nm0175068', 'nm0184801', 'nm0318040', 'nm0213009', 'nm0454920']",nm0000036
tt0016847,Faust,107,"Drama,Fantasy,Horror",8.1,"['nm0252472', 'nm0417837', 'nm0394806', 'nm0723801', 'nm0226189', 'nm0346914', 'nm0054044', 'nm0707765', 'nm0297529', 'nm0105970']",nm0003638
tt0017925,The General,78,"Action,Adventure,Comedy",8.1,"['nm0000036', 'nm0533045', 'nm0147070', 'nm0267650', 'nm0089162', 'nm1070961', 'nm0807667', 'nm0444172', 'nm0232592', 'nm0623189']","nm0115669,nm0000036"
